FIT Profiler Report
Profile stats for: [LightningModule]LitLatentJacobianODE.configure_callbacks
         7 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 dictconfig.py:274(_validate_and_normalize_key)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        2    0.000    0.000    0.000    0.000 _utils.py:676(is_dict)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 optimizer.py:564(_patch_step_function)
        2    0.000    0.000    0.000    0.000 base.py:189(_get_flag)
       12    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 _utils.py:625(is_primitive_dict)
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:1400(get_lr)
        3    0.000    0.000    0.000    0.000 lr_scheduler.py:72(_param_groups_val_list)
        5    0.000    0.000    0.000    0.000 _utils.py:516(_is_missing_literal)
        1    0.000    0.000    0.000    0.000 functools.py:66(wraps)
        2    0.000    0.000    0.000    0.000 dictconfig.py:277(_s_validate_and_normalize_key)
        4    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        2    0.000    0.000    0.000    0.000 basecontainer.py:707(_value)
        2    0.000    0.000    0.000    0.000 _utils.py:462(get_type_of)
        2    0.000    0.000    0.000    0.000 optimizer.py:231(_to_scalar)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        8    0.000    0.000    0.000    0.000 nodes.py:31(_value)
        1    0.000    0.000    0.000    0.000 eval_frame.py:233(_callback_from_stance)
        4    0.000    0.000    0.000    0.000 {built-in method torch._C._dynamo.eval_frame.set_eval_frame}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:336(__enter__)
        1    0.000    0.000    0.000    0.000 base.py:304(_is_none)
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'isdisjoint' of 'set' objects}
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:324(__enter__)
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:83(_update_param_group_val)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:439(__subclasshook__)
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:339(__exit__)
        1    0.000    0.000    0.000    0.000 trainer.py:1566(max_epochs)
        1    0.000    0.000    0.000    0.000 module.py:219(trainer)
        1    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:304(_warn_get_lr_called_within_step)
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:328(__exit__)
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:333(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:482(is_exporting)
        1    0.000    0.000    0.000    0.000 typing.py:2383(cast)
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:321(__init__)



Profile stats for: [Callback]RichModelSummary.on_fit_start
